Rj,Fig2ne,ne^.5,"(ne^,5)x25"
9.41E+00,60.72005685,7.792307544,194.8076886
9.42E+00,59.98952528,7.745290522,193.6322631
9.43E+00,59.26870879,7.69861733,192.4654333
9.44E+00,58.55746609,7.652285024,191.3071256
9.45E+00,57.85565809,7.606290692,190.1572673
9.46E+00,57.16314789,7.560631448,189.0157862
9.47E+00,56.47980074,7.515304434,187.8826109
9.48E+00,55.80548403,7.470306823,186.7576706
9.49E+00,55.14006721,7.425635812,185.6408953
9.50E+00,54.48342178,7.381288626,184.5322157
9.51E+00,53.83542127,7.337262519,183.431563
9.52E+00,53.19594115,7.293554768,182.3388692
9.53E+00,52.56485888,7.25016268,181.254067
9.54E+00,51.9420538,7.207083585,180.1770896
9.55E+00,51.32740713,7.16431484,179.107871
9.56E+00,50.72080196,7.121853829,178.0463457
