YMD,startHMS,startSSM(s),stopSSM(s),idnum,dispersionConstant,burstOrSurvey,electricOrMagnetic,altitude(km),radius(RJ),mshell,mlat(deg),lat(deg),jovigraphic_latitude(deg),centrifugal_latitude(deg),mlt(hours),lt(hours),io_phase(deg),longitude(deg),footlat(deg),footlon(deg)
20200725,024814.000,10094,10100,70,1011.232,Survey,Magnetic,308932,5.31,6.0033,18.753,24.938,25.4712,21.5885,21.89,22.1,61.051,321.798,72.137,298.24
20200725,024840.000,10120,10129,71,2118.717,Survey,Electric,308336,5.3013,5.9942,18.757,24.984,25.5216,21.6022,21.89,22.1,61.133,322.119,72.142,298.566
20200725,024910.000,10150,10158,72,1003.045,Survey,Magnetic,307673,5.292,5.9843,18.762,25.033,25.5733,21.6193,21.8877,22.1,61.22,322.44,72.148,298.913
20200725,024910.000,10150,10158,72,1080.482,Survey,Electric,307673,5.292,5.9843,18.762,25.033,25.5733,21.6193,21.8877,22.1,61.22,322.44,72.148,298.913
20200725,024934.000,10174,10178,73,1956.95,Survey,Magnetic,307160,5.2851,5.977,18.766,25.07,25.61,21.634,21.884,22.09,61.282,322.66,72.153,299.172
20200725,024934.000,10174,10182,73,2062.485,Survey,Electric,307113,5.2844,5.9763,18.766,25.073,25.6133,21.6353,21.8837,22.09,61.288,322.68,72.153,299.196
20200725,024959.000,10199,10204,74,3662.303,Survey,Electric,306568,5.277,5.9685,18.77,25.113,25.6525,21.651,21.88,22.09,61.354,322.915,72.158,299.472
20210902,214630.72,78390.72,78395.9,75,331.436,Survey,Magnetic,79092,2.0593,6.8622,59.348,57.96,59.5598,60.1842,18.3822,19.49,356.133,270.311,69.092,249.744
20210902,215742.91,79062.91,79068.96,76,808.924,Survey,Electric,60221,1.7879,8.5053,64.292,65.985,67.4972,66.6847,17.5334,18.99,5.295,284.725,73.243,265.087
20210902,215813.15,79093.15,79098.34,77,1276.814,Survey,Electric,59394,1.776,8.6218,64.521,66.385,67.8847,66.9927,17.4838,18.96,5.881,285.52,73.468,265.853
20210902,215845.12,79125.12,79128.58,78,1207.197,Survey,Electric,58534,1.7636,8.7477,64.759,66.81,68.2891,67.3141,17.4319,18.92,6.517,286.349,73.707,266.662
20201107,224736.67,82056.67,82059.26,79,610.764,Survey,Magnetic,274514,4.8274,5.9031,25.3,26.676,27.2859,26.6116,21.3037,21.6,355.327,291.58,69.617,265.751
20201107,224754.82,82074.82,82081.73,80,752.519,Survey,Magnetic,274040,4.8207,5.8956,25.3,26.717,27.3265,26.6286,21.3003,21.6,355.394,291.783,69.632,266.07
20201107,224857.89,82137.89,82145.66,81,727.406,Survey,Magnetic,272559,4.7999,5.8713,25.31,26.844,27.4636,26.6715,21.3,21.6,355.506,292.421,69.675,267.066
20201107,225121.31,82281.31,82283.9,82,384.485,Survey,Electric,269273,4.7536,5.8197,25.324,27.125,27.759,26.7888,21.2962,21.59,355.975,293.964,69.755,269.278
20201107,225121.31,82281.31,82283.9,82,499.23,Survey,Magnetic,269273,4.7536,5.8197,25.324,27.125,27.759,26.7888,21.2962,21.59,355.975,293.964,69.755,269.278
20201107,225330.05,82410.05,82414.37,83,561.168,Survey,Magnetic,266248,4.7108,5.7722,25.355,27.4,28.0398,26.9068,21.29,21.59,356.354,295.322,69.813,271.313
20201107,225338.69,82418.69,82422.14,84,560.043,Survey,Magnetic,266057,4.7081,5.7692,25.357,27.418,28.0576,26.9137,21.29,21.59,356.367,295.404,69.816,271.442
20201107,225356.83,82436.83,82440.29,85,518.379,Survey,Magnetic,265634,4.7021,5.7625,25.36,27.457,28.0969,26.9288,21.29,21.59,356.398,295.586,69.823,271.726
20201107,225432.26,82472.26,82479.17,86,615.398,Survey,Magnetic,264767,4.6898,5.7495,25.366,27.531,28.1774,26.9598,21.284,21.58,356.519,296.017,69.836,272.308
20201107,225448.67,82488.67,82494.72,87,577.986,Survey,Magnetic,264394,4.6845,5.7439,25.369,27.563,28.212,26.9731,21.2814,21.58,356.572,296.203,69.841,272.558
20191226,131348,47628,47630.59,88,455.699,Survey,Electric,379614,6.3,7.5216,23.018,22.988,23.4057,22.725,23.39,23.11,212.264,108.793,54.703,142.014
20191226,131347.14,47627.14,47629.73,88,532.188,Survey,Magnetic,379631,6.3002,7.5216,23.015,22.987,23.4046,22.723,23.39,23.11,212.261,108.784,54.704,142.01
20191226,132248,48168,48170.59,89,424.144,Survey,Magnetic,368314,6.141,7.5591,24.666,23.636,24.0757,24.0332,23.38,23.1,213.764,114.393,53.787,144.047
20191226,132248,48168,48170.59,89,391.73,Survey,Electric,368314,6.141,7.5591,24.666,23.636,24.0757,24.0332,23.38,23.1,213.764,114.393,53.787,144.047
20191226,132255.78,48175.78,48178.37,90,496.283,Survey,Electric,368158,6.1387,7.5598,24.691,23.646,24.0861,24.0527,23.38,23.1,213.79,114.471,53.775,144.077
20191226,132507.1,48307.1,48311.42,91,429.524,Survey,Electric,365315,6.0995,7.5719,25.098,23.811,24.2523,24.3732,23.38,23.09,214.131,115.893,53.574,144.578
20191226,132507.97,48307.97,48311.42,91,471.384,Survey,Magnetic,365306,6.0994,7.572,25.099,23.811,24.2529,24.3742,23.38,23.09,214.132,115.897,53.574,144.58
20191226,132551.17,48351.17,48353.76,92,504.616,Survey,Electric,364451,6.0867,7.5762,25.227,23.861,24.31,24.4812,23.38,23.09,214.275,116.325,53.51,144.742
20191226,132552.03,48352.03,48354.62,92,687.146,Survey,Magnetic,364434,6.0865,7.5763,25.23,23.862,24.3111,24.4833,23.38,23.09,214.278,116.333,53.509,144.746
20191226,132855.2,48535.2,48538.66,93,474.771,Survey,Electric,360467,6.0318,7.5966,25.801,24.096,24.5559,24.9423,23.38,23.08,214.79,118.269,53.249,145.448
20191226,132855.2,48535.2,48538.66,93,361.552,Survey,Magnetic,360467,6.0318,7.5966,25.801,24.096,24.5559,24.9423,23.38,23.08,214.79,118.269,53.249,145.448
20191226,131859.04,47939.04,47941.63,94,402.463,Survey,Electric,373093,6.2086,7.541,23.961,23.35,23.7904,23.4708,23.3899,23.1,213.101,112.004,54.156,143.184
20191226,131909.41,47949.41,47951.14,95,400.283,Survey,Electric,372877,6.2057,7.5417,23.993,23.364,23.802,23.4957,23.3883,23.1,213.134,112.12,54.14,143.222
20191226,131918.91,47958.91,47962.37,96,409.091,Survey,Electric,372653,6.2027,7.5424,24.025,23.378,23.8141,23.5216,23.3866,23.1,213.169,112.241,54.123,143.261
20191226,131918.91,47958.91,47962.37,96,585.758,Survey,Magnetic,372653,6.2027,7.5424,24.025,23.378,23.8141,23.5216,23.3866,23.1,213.169,112.241,54.123,143.261
